Name,Rating,Reviews,Salary,Jobs,Location
Team Lease,3.9,3.7k Reviews,15.2k Salaries,-- Jobs,Recruitment | Bangalore / Bengaluru +370 other locations
Hetero,3.9,3.7k Reviews,14.5k Salaries,30 Jobs,Pharma | Hyderabad / Secunderabad +62 other locations
Tata AIA Life Insurance,4.0,3.7k Reviews,13.2k Salaries,151 Jobs,Insurance | Mumbai +391 other locations
Access Healthcare,3.9,3.7k Reviews,22.3k Salaries,276 Jobs,Analytics & KPO | Chennai +45 other locations
Oyo Rooms,3.2,3.7k Reviews,17.2k Salaries,105 Jobs,Internet | Gurgaon / Gurugram +118 other locations
Macleods Pharmaceuticals,3.6,3.7k Reviews,15.3k Salaries,5 Jobs,Pharma | Mumbai +117 other locations
John Deere,4.0,3.6k Reviews,14.9k Salaries,13 Jobs,Industrial Machinery | Pune +141 other locations
Reliance Communications,4.0,3.6k Reviews,10k Salaries,-- Jobs,Telecom | Mumbai +456 other locations
Utkarsh Small Finance Bank,3.8,3.6k Reviews,9.9k Salaries,11 Jobs,Banking | Varanasi +360 other locations
Thermax Limited,4.2,3.6k Reviews,12.2k Salaries,44 Jobs,Industrial Machinery | Pune +225 other locations
Tata Communications,4.0,3.6k Reviews,23.1k Salaries,28 Jobs,Telecom | Pune +98 other locations
Royal Enfield,4.2,3.6k Reviews,13.6k Salaries,3 Jobs,Automobile | Chennai +351 other locations
LG Electronics,3.9,3.6k Reviews,10.5k Salaries,1 Jobs,Consumer Electronics & Appliances | Pune +283 other locations
Aakash Educational Services,3.4,3.6k Reviews,12.3k Salaries,70 Jobs,Education & Training | New Delhi +233 other locations
VE Commercial Vehicles,4.0,3.5k Reviews,12.8k Salaries,16 Jobs,Automobile | Indore +147 other locations
HDFC Ergo General Insurance,3.9,3.5k Reviews,11.7k Salaries,1 Jobs,Insurance | Mumbai +301 other locations
Lenskart,3.2,3.5k Reviews,11.6k Salaries,2.6k Jobs,Internet | New Delhi +220 other locations
Carelon Global Solutions,3.8,3.5k Reviews,25.7k Salaries,24 Jobs,Software Product | Bangalore / Bengaluru +17 other locations
DCB Bank,3.8,3.5k Reviews,9.2k Salaries,9 Jobs,Banking | Mumbai +328 other locations
Berger Paints,3.7,3.5k Reviews,9k Salaries,182 Jobs,Chemicals | Kolkata +313 other locations
Cummins,4.3,3.5k Reviews,14.9k Salaries,424 Jobs,Industrial Machinery | Pune +107 other locations
XpressBees,4.2,3.5k Reviews,7.8k Salaries,6 Jobs,Pune +461 other locations
Jubilant Foods Works,3.7,3.5k Reviews,8.4k Salaries,125 Jobs,Hospitality | New Delhi +236 other locations
Publicis Sapient,3.5,3.5k Reviews,28.2k Salaries,261 Jobs,IT Services & Consulting | Bangalore / Bengaluru +45 other locations
Bank of America,4.2,3.5k Reviews,25.9k Salaries,1 Jobs,Banking | Gurgaon / Gurugram +33 other locations
Hindalco Industries,4.2,3.4k Reviews,11.1k Salaries,11 Jobs,Metals & Mining | Sambalpur +116 other locations
American Express,4.1,3.4k Reviews,22k Salaries,179 Jobs,Financial Services | Gurgaon / Gurugram +50 other locations
Viatris,4.2,3.4k Reviews,13.7k Salaries,2 Jobs,Pharma | Hyderabad / Secunderabad +76 other locations
